Critical Mineral Project,Mining Proponent,Minerals Sought,US State Funding,LAT,LON,Category
La Loutre Graphite Mine,Lomiko Metals,Graphite,$8.35 million (USD),46.02648114,-75.00708009,Critical Minerals Mine
NICO Project,Fortune Minerals,"Cobalt, gold, bismuth, copper",$6.4 million (USD),63.57754489,-116.7798715,Critical Minerals Mine
Mactung Mine Project,Fireweed Metals,Tungsten,$15.8 million (USD),63.17845462,-130.4136036,Critical Minerals Mine
Sission Mine,Northcliff Resources,"Tungsten, molybdenum",$15 million (USD),46.37028614,-67.0465116,Critical Minerals Mine
Nano One cathode factory (Quebec location),Nano One Materials Corp.,Manufacturing of lithium iron phosphate cathodes,$12.9 million (USD),45.37260798,-73.52419717,Refining and Manufacturing
Nano One cathode factory (British Columbia location),Nano One Materials Corp.,Manufacturing of lithium iron phosphate cathodes,$12.9 million (USD),49.25122975,-122.9135826,Refining and Manufacturing
Electra Cobalt Refinery,Electra Battery Minerals,Cobalt,$20 million (USD),47.40651521,-79.62214571,Refining and Manufacturing
Lithium Americas Headquarters,Lithium Americas,"Lithium (Thacker Pass mine, Nevada)",5 per cent equity stake,49.2849983,-123.1191065,Canadian-Domiciled Companies
Trilogy Metals Headquarters,Trilogy Metals,"Copper, cobalt, zinc, lead (Ambler Road project, Alaska)",$35.6 million (USD),49.2833947,-123.117244,Canadian-Domiciled Companies
Strange Lake Rare Earth Mining Project,Torngat Metals,"Rare earth elements (neodymium, praseodymium, dysprosium, terbium)","Torngat will sell REEs to Vacuumschmelze (VAC). E-VAC Magnetics, a VAC subsidiary, has signed agreement with the Pentagon to build a magnet manufacturing facility in South Carolina.",56.30564852,-64.33625996,Mining Infrastructure
Ring of Fire,Wyloo Metals,"Copper, nickle, chromium, platinum group elements",Not yet announced,52.74226113,-86.29649065,Critical Minerals Mine
